ID	Feature_short	Feature	PoS	Function	Level
GB020	DefArt	Are there definite or specific articles?	article	deixis	NP
GB021	IndfArt	Do indefinite nominals commonly have indefinite articles?	article	deixis	NP
GB022	PreNArt	Are there prenominal articles?	article	deixis	NP
GB023	PostNArt	Are there postnominal articles?	article	deixis	NP
GB026	AdjDisc	Can adnominal property words occur discontinuously?	not assignable	word order	NP
GB027	ConjCom	Are nominal conjunction and comitative expressed by different elements?	multiple	argument marking (non-core)	NP
GB028	InclExcl	Is there an inclusive/exclusive distinction?	pronoun	deixis	word
GB030	3PPGender	Is there a gender distinction in independent 3rd person pronouns?	pronoun	deixis	word
GB031	PronDual	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	pronoun	deixis	word
GB035	Dist3Dem	Are there three or more distance contrasts in demonstratives?	demonstrative	deixis	word
GB037	VisDem	Do demonstratives show a visible-nonvisible distinction?	demonstrative	deixis	word
GB039	AllomNNum	Is there nonphonological allomorphy of noun number markers?	noun	number	word
GB041	SupplNPlu	Are there several nouns (more than three) which are suppletive for number?	noun	number	word
GB042	SGN	Is there productive overt morphological singular marking on nouns?	noun	number	word
GB043	DualN	Is there productive morphological dual marking on nouns?	noun	number	word
GB044	PluN	Is there productive morphological plural marking on nouns?	noun	number	word
GB046	AssN	Is there an associative plural marker for nouns?	noun	number	word
GB047	ActionDer	Is there a productive morphological pattern for deriving an action/state noun from a verb?	noun	denominal derivation	word
GB048	AgentDer	Is there a productive morphological pattern for deriving an agent noun from a verb?	noun	denominal derivation	word
GB049	ObjDer	Is there a productive morphological pattern for deriving an object noun from a verb?	noun	denominal derivation	word
GB057	NumClass	Are there numeral classifiers?	noun	quantification	word
GB059	AlienPoss	Is the adnominal possessive construction different for alienable and inalienable nouns?	noun	possession	word
GB068	AdjPredV	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	adjective	non-verbal predication	word
GB069	AdjAttrV	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?	adjective	other	word
GB070	NCoreCase	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	noun	argument marking (core)	word
GB071	PronCoreCase	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	pronoun	argument marking (core)	word
GB072	NOblCase	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	noun	argument marking (non-core)	word
GB073	PronOblCase	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?	pronoun	argument marking (non-core)	word
GB074	Prep	Are there prepositions?	other	argument marking (non-core)	NP
GB075	Postp	Are there postpositions?	other	argument marking (non-core)	NP
GB079	PrefVerb	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	verb	TAME+	word
GB080	SuffVerb	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	verb	TAME+	word
GB082	PrsVerb	Is there overt morphological marking of present tense on verbs?	verb	TAME	word
GB083	PstVerb	Is there overt morphological marking on the verb dedicated to past tense?	verb	TAME	word
GB084	FutVerb	Is there overt morphological marking on the verb dedicated to future tense?	verb	TAME	word
GB086	PfvIpfv	Is a morphological distinction between perfective and imperfective aspect available on verbs?	verb	TAME	word
GB089	SSuffVerb	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	verb	argument marking (core)	word
GB091	ASuffVerb	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	verb	argument marking (core)	word
GB103	BenApplVerb	Is there a benefactive applicative marker on the verb (including indexing)?	verb	argument marking (non-core)	word
GB105	RecPatient	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	verb	argument marking (non-core)	word
GB107	NegVerb	Can standard negation be marked by an affix, clitic or modification of the verb?	verb	negation	word
