ID	Feature_short	Feature
GB020	DefArt	Are there definite or specific articles?
GB021	IndfArt	Do indefinite nominals commonly have indefinite articles?
GB022	PreNArt	Are there prenominal articles?
GB023	PostNArt	Are there postnominal articles?
GB024	OrderNumN	What is the order of numeral and noun in the NP?
GB025	OrderDemN	What is the order of adnominal demonstrative and noun?
GB026	AdjDisc	Can adnominal property words occur discontinuously?
GB027	ConjCom	Are nominal conjunction and comitative expressed by different elements?
GB028	InclExcl	Is there an inclusive/exclusive distinction?
GB030	3PPGender	Is there a gender distinction in independent 3rd person pronouns?
GB031	PronDual	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?
GB035	Dist3Dem	Are there three or more distance contrasts in demonstratives?
GB036	ElevDem	Do demonstratives show an elevation distinction?
GB037	VisDem	Do demonstratives show a visible-nonvisible distinction?
GB038	DemClass	Are there demonstrative classifiers?
GB039	AllomNNum	Is there nonphonological allomorphy of noun number markers?
GB041	SupplNPlu	Are there several nouns (more than three) which are suppletive for number?
GB042	SGN	Is there productive overt morphological singular marking on nouns?
GB043	DualN	Is there productive morphological dual marking on nouns?
GB044	PluN	Is there productive morphological plural marking on nouns?
GB046	AssN	Is there an associative plural marker for nouns?
GB047	ActionDer	Is there a productive morphological pattern for deriving an action/state noun from a verb?
GB048	AgentDer	Is there a productive morphological pattern for deriving an agent noun from a verb?
GB049	ObjDer	Is there a productive morphological pattern for deriving an object noun from a verb?
GB051	ClassGen	Is there a noun class/gender system where sex is a factor in class assignment?
GB052	ClassShape	Is there a noun class/gender system where shape is a factor in class assignment?
GB053	ClassAnim	Is there a noun class/gender system where animacy is a factor in class assignment?
GB054	ClassPlant	Is there a noun class/gender system where plant status is a factor in class assignment?
GB057	NumClass	Are there numeral classifiers?
GB058	PossClass	Are there possessive classifiers?
GB059	AlienPoss	Is the adnominal possessive construction different for alienable and inalienable nouns?
GB065	OrderPossN	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?
